iter	Passed	Remaining
0	1	107
1	2	101
2	2	94
3	3	94
4	5	97
5	6	95
6	7	96
7	8	96
8	9	95
9	10	93
10	11	91
11	12	89
12	13	87
13	14	86
14	14	84
15	15	83
16	16	82
17	18	82
18	19	82
19	20	82
20	21	81
21	22	81
22	23	80
23	25	79
24	26	78
25	26	76
26	27	75
27	28	73
28	29	72
29	30	72
30	31	71
31	33	70
32	34	69
33	35	68
34	36	68
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	44
57	60	43
58	61	42
59	62	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	71	33
68	71	32
69	72	31
70	73	30
71	74	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	95	9
91	96	8
92	97	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	105	0
